'name','smiles','inchi','mult','charge','exc_flag'
'H','[H]','InChI=1S/H',1,0,0
'H2','[H][H]','InChI=1S/H2/h1H',1,0,0
'N2','N#N','InChI=1S/N2/c1-2',1,0,0
'AR','[Ar]','InChI=1S/Ar',1,0,0
!'HE','[He]','InChI=1S/He',1,0,0
!'tHNNH','N=N','InChI=1S/H2N2/c1-2/h1-2H/b2-1+',1,0,0
'N2H2','N=N','InChI=1S/H2N2/c1-2/h1-2H/b2-1-',1,0,0
'H2NN','N[N]','InChI=1S/H2N2/c1-2/h1H2',1,0,0
'NH3','N','InChI=1S/H3N/h1H3',1,0,0
'N2H4','NN','InChI=1S/H4N2/c1-2/h1-2H2',1,0,0
'N','[N]','InChI=1S/N',4,0,0
'NH','[NH]','InChI=1S/HN/h1H',3,0,0
'NNH','[N][N][H]','InChI=1S/HN2/c1-2/h1H',2,0,0
'NH2','[NH2]','InChI=1S/H2N/h1H2',2,0,0
'N2H3','N[N][H]','InChI=1S/H3N2/c1-2/h1H,2H2',2,0,0
